"","name","length","score","pvalue","qvalue"
"1","k119_3 flag=1 multi=3.0000 len=332",332,0.24905191444196,0.42077457795432,0.522928891272421
"2","k119_4 flag=1 multi=1.0000 len=350",350,0.29377032343071,0.368142999006951,0.522616312520407
"3","k119_5 flag=1 multi=2.0000 len=412",412,0.825789246817432,0.0357100297914598,0.417562250968006
"4","k119_6 flag=0 multi=429.0000 len=267",267,0.320194967701695,0.339821251241311,0.521169013600431
"5","k119_7 flag=1 multi=4.0000 len=366",366,0.300794165160152,0.36085402184707,0.521528750867235
"6","k119_8 flag=1 multi=3.0000 len=485",485,0.207732157009602,0.475273088381331,0.527107533120349
"7","k119_9 flag=1 multi=4.0000 len=371",371,0.669759204640352,0.0995233366434955,0.478839179770732
"8","k119_10 flag=1 multi=3.0000 len=379",379,0.486432773630318,0.202840119165839,0.500444738885654
"9","k119_11 flag=1 multi=2.0000 len=329",329,0.520570761186232,0.180953326713009,0.500444738885654
"10","k119_12 flag=1 multi=3.0000 len=500",500,0.234392688674973,0.439026812313803,0.522928891272421
"11","k119_13 flag=1 multi=1.0000 len=381",381,0.267107059125966,0.398152929493545,0.522928891272421
"12","k119_14 flag=1 multi=2.0000 len=415",415,0.817360934811842,0.0386494538232373,0.423501565672856
"13","k119_15 flag=0 multi=175.7123 len=470",470,0.233886613364714,0.439841112214499,0.522928891272421
"14","k119_16 flag=1 multi=2.0000 len=537",537,0.398921791481597,0.266812313803376,0.506722706691942
"15","k119_17 flag=1 multi=2.0000 len=358",358,0.544909591666868,0.165998013902681,0.500444738885654
"16","k119_18 flag=1 multi=3.0000 len=323",323,0.686223525996621,0.0908639523336643,0.47126204453534
"17","k119_19 flag=1 multi=2.0000 len=348",348,0.375834917434287,0.285700099304866,0.512728548189095
"18","k119_20 flag=1 multi=2.0000 len=365",365,0.0562568356963827,0.79227408142999,0.600455394232033
"19","k119_21 flag=1 multi=4.1043 len=493",493,0.0436511864524554,0.834796425024826,0.61267360120432
"20","k119_22 flag=1 multi=2.0000 len=318",318,0.481087176086405,0.206454816285998,0.500444738885654
"21","k119_23 flag=0 multi=1.0000 len=223",223,0.873030279637591,0.0210724925521351,0.417562250968006
"22","k119_24 flag=1 multi=3.0000 len=600",600,0.119310022980298,0.628718967229394,0.554098268699945
"23","k119_25 flag=1 multi=3.0000 len=624",624,0.121011953045773,0.624826216484608,0.552153818581896
"24","k119_26 flag=1 multi=3.0000 len=617",617,0.109461902954286,0.651380337636544,0.563402241414989
"25","k119_27 flag=0 multi=13.8785 len=588",588,0.151606437770523,0.564726911618669,0.541905101054002
"26","k119_28 flag=1 multi=3.0000 len=892",892,0.134178470003969,0.597517378351539,0.54986485765108
"27","k119_29 flag=1 multi=3.0000 len=381",381,0.0527780931781427,0.803336643495531,0.604215263208384
"28","k119_30 flag=1 multi=3.0000 len=438",438,0.00284128036233808,0.994141012909633,0.651904099678397
"29","k119_31 flag=1 multi=3.0000 len=521",521,0.249004182840113,0.420814299900695,0.522928891272421
"30","k119_32 flag=1 multi=4.0000 len=339",339,0.468627798937765,0.214796425024826,0.500444738885654
"31","k119_33 flag=1 multi=2.0000 len=407",407,0.405247666978015,0.261608738828203,0.506722706691942
"32","k119_34 flag=1 multi=4.0000 len=678",678,0.193370309984917,0.495908639523337,0.534004255304659
"33","k119_35 flag=1 multi=3.0000 len=419",419,0.0149749332570488,0.9453227408143,0.644212635154324
"34","k119_36 flag=1 multi=4.0000 len=892",892,0.24032222250682,0.431340615690169,0.522928891272421
"35","k119_37 flag=1 multi=3.0000 len=489",489,0.0287080129286187,0.890228401191658,0.632467842875404
"36","k119_38 flag=1 multi=4.0000 len=555",555,0.519416811631256,0.181767626613704,0.500444738885654
"37","k119_39 flag=1 multi=4.0000 len=599",599,0.308106779448102,0.352770605759682,0.521169013600431
"38","k119_40 flag=1 multi=15.0000 len=642",642,0.037450561095999,0.857219463753724,0.620243881529315
"39","k119_41 flag=1 multi=7.0000 len=1148",1148,0.00554755276879116,0.944951568541476,0.644212635154324
"40","k119_42 flag=1 multi=3.0000 len=517",517,0.467148819330792,0.215948361469712,0.500444738885654
"41","k119_43 flag=1 multi=7.1402 len=1082",1082,0.517586949980565,0.147885358950851,0.500444738885654
"42","k119_44 flag=1 multi=3.0000 len=365",365,0.256769643512109,0.411380337636544,0.522928891272421
"43","k119_45 flag=1 multi=4.0000 len=976",976,0.293162166259628,0.368699106256207,0.522616312520407
"44","k119_46 flag=1 multi=13.0466 len=1343",1343,0.14769854235462,0.454617929604975,0.522928891272421
"45","k119_47 flag=1 multi=6.0000 len=1068",1068,0.109547491010669,0.521106549208754,0.534004255304659
"46","k119_48 flag=0 multi=94.8418 len=435",435,0.785965858219232,0.0490963257199603,0.423501565672856
"47","k119_49 flag=0 multi=43.9440 len=1458",1458,0.35155620854128,0.239526447961095,0.502011959520066
"48","k119_50 flag=1 multi=4.0000 len=400",400,0.116416599161985,0.635352532274081,0.556946152332075
"49","k119_51 flag=0 multi=219.5140 len=298",298,0.367692232128969,0.293028798411122,0.517934249988765
"50","k119_52 flag=1 multi=3.0000 len=649",649,0.51857575200028,0.182164846077458,0.500444738885654
"51","k119_53 flag=1 multi=2.0000 len=388",388,0.308848455101642,0.352154915590864,0.521169013600431
"52","k119_54 flag=1 multi=129.0000 len=350",350,0.591134118137187,0.13922542204568,0.500444738885654
"53","k119_55 flag=1 multi=5.0000 len=1255",1255,0.450749867513578,0.179854107705186,0.500444738885654
"54","k119_56 flag=1 multi=31.0000 len=376",376,0.11240898677182,0.644389275074479,0.560366768025259
"55","k119_57 flag=1 multi=3.0000 len=381",381,0.04742702235628,0.821251241310824,0.607391836652797
"56","k119_58 flag=1 multi=3.0000 len=684",684,0.0397039438946092,0.849056603773585,0.616360783038062
"57","k119_59 flag=0 multi=77.9683 len=749",749,0.728101324362816,0.0723932472691162,0.469523806570339
"58","k119_60 flag=1 multi=4.0000 len=1255",1255,0.177684331201919,0.410929963726233,0.522928891272421
"59","k119_61 flag=1 multi=3.0000 len=858",858,0.103508879774241,0.665004965243297,0.564793323863998
"60","k119_62 flag=1 multi=3.0000 len=301",301,0.0500813026275847,0.812730883813307,0.607391836652797
"61","k119_63 flag=1 multi=4.0000 len=453",453,0.724031309751147,0.0741608738828203,0.469523806570339
"62","k119_64 flag=1 multi=6.0000 len=399",399,0.013115205577289,0.953386295928501,0.644692018327529
"63","k119_65 flag=1 multi=3.0000 len=363",363,0.693458152718766,0.0876663356504469,0.47126204453534
"64","k119_66 flag=1 multi=2.0000 len=373",373,0.133497757800399,0.598728897715988,0.54986485765108
"65","k119_67 flag=1 multi=2.0000 len=312",312,0.562502322034122,0.155868917576961,0.500444738885654
"66","k119_68 flag=1 multi=13.0000 len=951",951,0.108431283549767,0.653704071499503,0.563402241414989
"67","k119_69 flag=0 multi=248.3745 len=653",653,0.765180621450594,0.0570605759682224,0.450170573955938
"68","k119_70 flag=1 multi=611.0000 len=431",431,0.755065406427694,0.0607944389275074,0.452376698932726
"69","k119_71 flag=0 multi=1568.5589 len=883",883,0.312754292859837,0.347864945382324,0.521169013600431
"70","k119_72 flag=1 multi=2.0000 len=329",329,0.536836857615567,0.170963257199603,0.500444738885654
"71","k119_73 flag=1 multi=2.0000 len=309",309,0.0501892492640873,0.812393247269116,0.607391836652797
"72","k119_74 flag=1 multi=3.0000 len=470",470,0.645830289862987,0.11098311817279,0.484489877904767
"73","k119_75 flag=1 multi=2.0000 len=347",347,0.0609446084106823,0.777874875868918,0.596445709127188
"74","k119_76 flag=0 multi=17.8113 len=225",225,0.671864168410408,0.0984707050645482,0.478839179770732
"75","k119_77 flag=1 multi=4.0000 len=1258",1258,0.118390585177542,0.504803284569697,0.534004255304659
"76","k119_78 flag=1 multi=20.7373 len=2403",2403,0.114120199663477,0.512496512137761,0.534004255304659
"77","k119_79 flag=0 multi=63.7684 len=1397",1397,0.0373667954294347,0.739944991429824,0.58068946238272
"78","k119_80 flag=1 multi=2.0000 len=642",642,0.437971313083675,0.236663356504469,0.502011959520066
"79","k119_81 flag=1 multi=3.0000 len=648",648,0.0919554276508634,0.692651439920556,0.574659353421596
"80","k119_82 flag=1 multi=3.0000 len=505",505,0.555895075560769,0.159563058589871,0.500444738885654
"81","k119_83 flag=0 multi=4.6276 len=264",264,0.0290248602824645,0.888937437934459,0.632467842875404
"82","k119_84 flag=1 multi=7.0000 len=3138",3138,0.139713478909807,0.280014552510308,0.512728548189095
"83","k119_85 flag=1 multi=4.0000 len=462",462,0.149172000220117,0.569473684210526,0.541905101054002
"84","k119_86 flag=0 multi=160.0000 len=2249",2249,0.491985218734563,0.159644437357994,0.500444738885654
"85","k119_87 flag=1 multi=2.0000 len=356",356,0.829362555727449,0.0345779543197617,0.417562250968006
"86","k119_88 flag=1 multi=2.0000 len=313",313,0.271077101094175,0.393922542204568,0.522928891272421
"87","k119_89 flag=1 multi=2.0000 len=364",364,0.00826168273868564,0.974359483614697,0.647876416379174
"88","k119_90 flag=1 multi=2.0000 len=396",396,0.00951262130665538,0.968738828202582,0.647609656673723
"89","k119_91 flag=1 multi=5.0000 len=560",560,0.655455181366022,0.106077457795432,0.47958075997028
"90","k119_92 flag=1 multi=2.0000 len=408",408,0.358712461333141,0.301330685203575,0.518118602686267
"91","k119_93 flag=1 multi=92.0000 len=364",364,0.478770676488122,0.208123138033764,0.500444738885654
"92","k119_94 flag=0 multi=21.9646 len=2069",2069,0.043155315350159,0.713198070713916,0.576497741461461
"93","k119_95 flag=1 multi=374.0000 len=393",393,0.103865661248463,0.664270109235353,0.564793323863998
"94","k119_96 flag=1 multi=2.0000 len=456",456,0.721337233510539,0.0751936444885799,0.469523806570339
"95","k119_97 flag=1 multi=5.0000 len=383",383,0.221295656805404,0.456981132075472,0.522928891272421
"96","k119_98 flag=1 multi=3.0000 len=971",971,0.200954971648656,0.485024826216485,0.529576804812364
"97","k119_99 flag=1 multi=4.0000 len=323",323,0.485147479176023,0.203455809334657,0.500444738885654
"98","k119_100 flag=0 multi=52.6678 len=2575",2575,0.630716656419687,0.0987363973372663,0.478839179770732
"99","k119_101 flag=1 multi=7.0000 len=1362",1362,0.143794409887454,0.460517399449914,0.522928891272421
