name,length,score,pvalue,viral
JF974289.1_21,5000,0.986908829,0.002789231,1
JF974289.1_23,5000,0.997050935,0.000727626,1
JF974289.1_24,5000,0.993921338,0.001576522,1
JF974289.1_25,5000,0.997686127,0.000485084,1
JF974289.1_26,5000,0.994589474,0.00133398,1
JF974289.1_27,5000,0.999876594,0,1
JF974289.1_28,5000,0.90591969,0.012733447,1
JF974289.1_29,5000,0.996976142,0.000848896,1
JF974289.1_30,5000,0.993308607,0.001576522,1
JF974289.1_31,5000,0.992799729,0.001819064,1
JF974289.1_32,5000,0.996779562,0.000848896,1
JF974289.1_33,5000,0.99536456,0.00133398,1
JF974289.1_34,5000,0.991244087,0.002061606,1
JF974292.1_1,5000,0.981974404,0.003395586,1
JF974292.1_2,5000,0.931770373,0.009459132,1
JF974292.1_3,5000,0.992659589,0.001940335,1
JF974292.1_4,5000,0.961240299,0.006184817,1
JF974292.1_5,5000,0.99816072,0.000485084,1
JF974292.1_6,5000,0.995003207,0.00133398,1
JF974292.1_7,5000,0.999225671,0.000121271,1
JF974292.1_8,5000,0.996104701,0.000970167,1
JF974292.1_9,5000,0.992665268,0.001940335,1
JF974292.1_10,5000,0.896667228,0.013703614,1
JF974292.1_11,5000,0.972839149,0.004608295,1
JF974292.1_12,5000,0.994124519,0.001576522,1
JF974292.1_13,5000,0.993194849,0.001697793,1
JF974292.1_14,5000,0.975107936,0.00400194,1
JF974292.1_16,5000,0.99455579,0.00133398,1
JF974292.1_17,5000,0.998283396,0.000485084,1
JF974292.1_18,5000,0.963390939,0.005699733,1
JF974292.1_19,5000,0.996309894,0.000970167,1
JF974292.1_20,5000,0.994925712,0.00133398,1
JF974292.1_21,5000,0.978128285,0.003759398,1
JF974292.1_22,5000,0.944065476,0.00788261,1
JF974292.1_23,5000,0.990594422,0.002182877,1
JF974292.1_25,5000,0.998507312,0.000485084,1
JF974292.1_26,5000,0.997627265,0.000485084,1
JF974292.1_27,5000,0.998236493,0.000485084,1
JF974292.1_28,5000,0.992772239,0.001940335,1
JF974289.1_33,5000,0.99536456,0.00133398,1
JF974292.1_29,5000,0.986278327,0.002789231,1
JF974292.1_31,5000,0.999666484,0,1
JF974292.1_33,5000,0.960134567,0.006427359,1
JF974292.1_34,5000,0.999819368,0,1
JF974292.1_35,5000,0.98723698,0.002789231,1
JF974315.1_1,5000,0.683569451,0.048993451,1
JF974315.1_2,5000,0.902460416,0.012975988,1
JF974315.1_3,5000,0.464048567,0.098835799,1
JF974315.1_4,5000,0.537513393,0.079674994,1
JF974315.1_5,5000,0.526356392,0.081979141,1
JF974315.1_6,5000,0.448542939,0.103807907,1
KU686203.1_1,5000,0.926645703,0.010186757,1
KU686203.1_2,5000,0.377759549,0.127577007,1
KU686203.1_3,5000,0.959917989,0.006427359,1
KU686203.1_4,5000,0.957719666,0.00654863,1
KU686203.1_5,5000,0.988011687,0.002546689,1
KU686203.1_6,5000,0.9856115,0.002789231,1
KU686203.1_7,5000,0.94918706,0.007154984,1
KU686203.1_8,5000,0.986209559,0.002789231,1
KU686203.1_9,5000,0.996995807,0.000848896,1
KU686203.1_10,5000,0.972260063,0.004729566,1
KU686203.1_11,5000,0.996954785,0.000848896,1
KU686203.1_13,5000,0.989860648,0.002182877,1
KU686203.1_14,5000,0.955044842,0.006669901,1
KU686203.1_15,5000,0.99567082,0.00133398,1
KU686203.1_16,5000,0.92481398,0.010429299,1
KU686203.1_17,5000,0.984083429,0.003274315,1
KU686203.1_18,5000,0.996429773,0.000970167,1
KU686203.1_19,5000,0.99025276,0.002182877,1
KU686203.1_20,5000,0.985836003,0.002789231,1
KU686203.1_22,5000,0.985937807,0.002789231,1
KU686203.1_23,5000,0.98687794,0.002789231,1
KU686203.1_25,5000,0.955821662,0.00654863,1
KU686203.1_26,5000,0.998700057,0.000363813,1
KU686203.1_27,5000,0.987120115,0.002789231,1
KU686203.1_28,5000,0.984984351,0.003153044,1
KU686203.1_29,5000,0.997636289,0.000485084,1
KU686203.1_30,5000,0.975809423,0.00400194,1
KU686203.1_31,5000,0.998936807,0.000242542,1
KU686203.1_32,5000,0.977555241,0.003759398,1
KU686203.1_33,5000,0.983064752,0.003395586,1
KU686203.1_34,5000,0.969382777,0.00533592,1
NC_015281.1_1,5000,0.986341448,0.002789231,1
NC_015281.1_2,5000,0.989703586,0.002182877,1
NC_015281.1_3,5000,0.983963039,0.003274315,1
NC_015281.1_4,5000,0.772571063,0.032864419,1
NC_015281.1_5,5000,0.993638324,0.001576522,1
NC_015281.1_6,5000,0.99896531,0.000121271,1
NC_015281.1_7,5000,0.99797856,0.000485084,1
NC_015281.1_8,5000,0.99579063,0.00133398,1
NC_015281.1_9,5000,0.998320674,0.000485084,1
NC_015281.1_10,5000,0.965230358,0.005578462,1
NC_015281.1_11,5000,0.985195508,0.003031773,1
NC_015281.1_12,5000,0.984840333,0.003153044,1
NC_015281.1_13,5000,0.926043612,0.010308028,1
NC_015281.1_14,5000,0.998689992,0.000485084,1
NC_015281.1_15,5000,0.992465143,0.001940335,1
NC_015281.1_16,5000,0.999587118,0,1
NC_015281.1_17,5000,0.976591786,0.003880669,1
NC_015281.1_18,5000,0.997769479,0.000485084,1
NC_015281.1_19,5000,0.999883158,0,1
NC_015281.1_20,5000,0.995975043,0.00133398,1
NC_015281.1_21,5000,0.993599185,0.001576522,1
NC_015281.1_22,5000,0.971972488,0.004729566,1
NC_015281.1_23,5000,0.999535356,0,1
NC_015281.1_24,5000,0.994968547,0.00133398,1
NC_015281.1_25,5000,0.999211853,0.000121271,1
NC_015281.1_27,5000,0.976815776,0.003880669,1
NC_015281.1_28,5000,0.979357456,0.003638128,1
NC_015281.1_29,5000,0.952444098,0.006912442,1
NC_015281.1_30,5000,0.996223508,0.000970167,1
NC_015281.1_31,5000,0.996055936,0.001091438,1
NC_015281.1_32,5000,0.925441359,0.010429299,1
NC_015281.1_33,5000,0.998934162,0.000242542,1
NC_015281.1_35,5000,0.997310212,0.000606355,1
NC_015283.1_1,5000,0.996522996,0.000970167,1
NC_015283.1_2,5000,0.964807819,0.005699733,1
NC_015283.1_3,5000,0.906315717,0.012733447,1
NC_015283.1_4,5000,0.978786673,0.003759398,1
NC_015283.1_5,5000,0.983176716,0.003395586,1
NC_015283.1_6,5000,0.990718934,0.002061606,1
NC_015283.1_7,5000,0.998356715,0.000485084,1
NC_015283.1_8,5000,0.996041631,0.001212709,1
NC_015283.1_9,5000,0.996753987,0.000848896,1
NC_015283.1_10,5000,0.999519027,0,1
NC_015283.1_12,5000,0.946893445,0.007397526,1
NC_015283.1_13,5000,0.971054995,0.004972108,1
NC_015283.1_14,5000,0.990091319,0.002182877,1
NC_015283.1_15,5000,0.98094462,0.003638128,1
NC_015283.1_16,5000,0.997674705,0.000485084,1
NC_015283.1_17,5000,0.990395848,0.002182877,1
NC_015283.1_18,5000,0.938596438,0.008731506,1
NC_015283.1_19,5000,0.997990285,0.000485084,1
NC_015283.1_20,5000,0.96802676,0.00533592,1
NC_015283.1_21,5000,0.996057636,0.001091438,1
NC_015283.1_22,5000,0.963713774,0.005699733,1
NC_015283.1_23,5000,0.992795607,0.001819064,1
NC_015283.1_24,5000,0.969050695,0.00533592,1
NC_015283.1_25,5000,0.998550838,0.000485084,1
NC_015283.1_26,5000,0.989313327,0.002425418,1
NC_015283.1_27,5000,0.996016231,0.001212709,1
NC_015283.1_28,5000,0.972623756,0.004608295,1
NC_015283.1_29,5000,0.999427785,0,1
NC_015283.1_31,5000,0.966715185,0.005457191,1
NC_015283.1_32,5000,0.859498195,0.019888431,1
NC_015283.1_33,5000,0.97873783,0.003759398,1
NC_015283.1_34,5000,0.991115146,0.002061606,1
NC_015283.1_35,5000,0.95022058,0.007154984,1
NC_015284.1_1,5000,0.983141648,0.003395586,1
NC_015284.1_2,5000,0.963612793,0.005699733,1
NC_015284.1_3,5000,0.914765861,0.011763279,1
NC_015284.1_4,5000,0.997844556,0.000485084,1
NC_015284.1_5,5000,0.999383227,0,1
NC_015284.1_7,5000,0.999254271,0.000121271,1
NC_015284.1_8,5000,0.990481669,0.002182877,1
NC_015284.1_9,5000,0.991192551,0.002061606,1
NC_015284.1_10,5000,0.998069067,0.000485084,1
NC_015284.1_11,5000,0.978757618,0.003759398,1
NC_015284.1_12,5000,0.999564032,0,1
NC_015284.1_13,5000,0.997863263,0.000485084,1
NC_015284.1_14,5000,0.99845247,0.000485084,1
NC_015284.1_15,5000,0.998122741,0.000485084,1
NC_015284.1_16,5000,0.995556003,0.00133398,1
