name,length,score,pvalue,qvalue,viral
HQ332139.1_5,5000,0.676424954,0.050569973,0.352254955,1
HQ332139.1_6,5000,0.979537737,0.003638128,0.146855603,1
HQ332139.1_7,5000,0.986424183,0.002789231,0.134034853,1
NC_021536.1_2,5000,0.971157509,0.004972108,0.169662702,1
NC_021536.1_3,5000,0.996784022,0.000848896,0.112181341,1
NC_021536.1_5,5000,0.995227256,0.00133398,0.112181341,1
NC_021536.1_6,5000,0.967334884,0.00533592,0.169662702,1
NC_021536.1_7,5000,0.984654492,0.003153044,0.137677119,1
NC_021536.1_8,5000,0.991417722,0.002061606,0.122379677,1
NC_021536.1_9,5000,0.995445518,0.00133398,0.112181341,1
NC_021536.1_10,5000,0.997597453,0.000485084,0.112181341,1
NC_021536.1_11,5000,0.98708363,0.002789231,0.134034853,1
NC_021536.1_12,5000,0.991897268,0.002061606,0.122379677,1
NC_021536.1_13,5000,0.973853029,0.004487024,0.169662702,1
NC_021536.1_14,5000,0.955164438,0.006669901,0.169662702,1
NC_021536.1_15,5000,0.997239292,0.000606355,0.112181341,1
NC_021536.1_16,5000,0.954296845,0.006791171,0.169662702,1
NC_021536.1_17,5000,0.995177982,0.00133398,0.112181341,1
NC_021536.1_18,5000,0.759288627,0.035168567,0.316684193,1
NC_021536.1_19,5000,0.984272769,0.003153044,0.137677119,1
NC_021536.1_20,5000,0.959287484,0.006427359,0.169662702,1
NC_021536.1_21,5000,0.996445751,0.000970167,0.112181341,1
NC_021536.1_22,5000,0.96932794,0.00533592,0.169662702,1
NC_021536.1_24,5000,0.923754291,0.01055057,0.183569483,1
NC_021536.1_25,5000,0.949442654,0.007154984,0.169662702,1
NC_021536.1_26,5000,0.99573433,0.00133398,0.112181341,1
NC_021536.1_27,5000,0.993393332,0.001576522,0.113638255,1
NC_021536.1_28,5000,0.996653235,0.000848896,0.112181341,1
NC_021536.1_29,5000,0.932389575,0.009459132,0.180105913,1
NC_021536.1_30,5000,0.999415947,0,0,1
NC_021536.1_31,5000,0.987727103,0.002789231,0.134034853,1
NC_021536.1_32,5000,0.965480296,0.005578462,0.169662702,1
NC_021536.1_33,5000,0.964441965,0.005699733,0.169662702,1
NC_021536.1_34,5000,0.947066425,0.007397526,0.169662702,1
HQ633059.1_2,5000,0.805394307,0.028013582,0.295441796,1
HQ633059.1_3,5000,0.920049491,0.011156925,0.187648811,1
HQ633059.1_5,5000,0.781753134,0.03165171,0.30481599,1
HQ633059.1_7,5000,0.604966594,0.065850109,0.385014646,1
HQ633059.1_8,5000,0.543169444,0.078098472,0.406249989,1
HQ633059.1_9,5000,0.585517576,0.069124424,0.38529419,1
HQ633059.1_10,5000,0.770559678,0.03298569,0.305387762,1
HQ633059.1_11,5000,0.715561811,0.042929905,0.328199981,1
HQ633059.1_12,5000,0.648658847,0.055905894,0.365589856,1
HQ633059.1_13,5000,0.929973875,0.009701674,0.181303201,1
HQ633059.1_14,5000,0.807544484,0.027285957,0.295441796,1
HQ633059.1_15,5000,0.85426773,0.020737327,0.271778192,1
HQ633059.1_16,5000,0.824003714,0.024981809,0.289772512,1
HQ633059.1_17,5000,0.752500345,0.036502547,0.317554107,1
HQ633059.1_18,5000,0.793113114,0.029590104,0.298606355,1
HQ633059.1_19,5000,0.905127684,0.012733447,0.197690219,1
HQ633059.1_20,5000,0.69381468,0.046931846,0.34196868,1
HQ633059.1_21,5000,0.932164298,0.009459132,0.180105913,1
HQ633059.1_22,5000,0.755661336,0.035774921,0.316684193,1
HQ633059.1_23,5000,0.973097273,0.004608295,0.169662702,1
HQ633059.1_24,5000,0.938230916,0.008731506,0.180105913,1
HQ633059.1_25,5000,0.625066065,0.061241814,0.380570879,1
HQ633059.1_26,5000,0.885323155,0.015280136,0.214164399,1
HQ633059.1_27,5000,0.880433184,0.016250303,0.224642104,1
HQ633059.1_29,5000,0.913754868,0.011763279,0.188425815,1
HQ633059.1_30,5000,0.943210733,0.00788261,0.172927779,1
HQ633059.1_31,5000,0.569474936,0.072277468,0.390044248,1
HQ633059.1_32,5000,0.417963327,0.113752122,0.431715684,1
HQ633059.1_33,5000,0.809586201,0.026922144,0.295441796,1
HQ633059.1_34,5000,0.850778518,0.02110114,0.273000769,1
HQ634152.1_1,5000,0.999804364,0,0,1
HQ634152.1_2,5000,0.914309303,0.011763279,0.188425815,1
HQ634152.1_3,5000,0.942738624,0.008246423,0.177059937,1
HQ634152.1_4,5000,0.993633864,0.001576522,0.113638255,1
HQ634152.1_5,5000,0.985930259,0.002789231,0.134034853,1
HQ634152.1_6,5000,0.99275878,0.001940335,0.122379677,1
HQ634152.1_7,5000,0.960319766,0.006427359,0.169662702,1
HQ634152.1_8,5000,0.995048897,0.00133398,0.112181341,1
HQ633060.1_1,5000,0.57724812,0.070579675,0.386877621,1
HQ633060.1_3,5000,0.806107038,0.027771041,0.295441796,1
HQ633060.1_4,5000,0.956281887,0.00654863,0.169662702,1
HQ633060.1_5,5000,0.820249347,0.025345622,0.290651679,1
HQ633060.1_6,5000,0.791380237,0.030075188,0.300496579,1
HQ633060.1_8,5000,0.730273367,0.040625758,0.326345748,1
HQ633060.1_9,5000,0.67176859,0.051176328,0.352254955,1
HQ633060.1_10,5000,0.755932894,0.035774921,0.316684193,1
HQ633060.1_11,5000,0.795628573,0.02898375,0.295441796,1
HQ633060.1_12,5000,0.82483661,0.024860538,0.289772512,1
HQ633060.1_13,5000,0.465491585,0.098229445,0.431715684,1
HQ633060.1_14,5000,0.950889367,0.007154984,0.169662702,1
HQ633060.1_15,5000,0.923774195,0.01055057,0.183569483,1
HQ633060.1_16,5000,0.668248959,0.051661412,0.352254955,1
HQ633060.1_17,5000,0.370490378,0.130244967,0.436979767,1
HQ633060.1_18,5000,0.839986014,0.022920204,0.278671748,1
HQ633060.1_19,5000,0.779394319,0.032015523,0.30481599,1
HQ633060.1_20,5000,0.874285374,0.017341741,0.233487496,1
HQ633060.1_21,5000,0.799295888,0.028741208,0.295441796,1
HQ633060.1_22,5000,0.910966552,0.012369634,0.195042579,1
HQ633060.1_23,5000,0.716072201,0.042808634,0.328199981,1
HQ633060.1_24,5000,0.983807968,0.003274315,0.137677119,1
HQ633060.1_25,5000,0.731333668,0.040261945,0.326345748,1
HQ633060.1_26,5000,0.783514198,0.031045355,0.304166906,1
HQ633060.1_27,5000,0.429357161,0.109750182,0.431715684,1
HQ633060.1_28,5000,0.845904442,0.022071307,0.278413711,1
HQ633060.1_29,5000,0.93386074,0.009337861,0.180105913,1
HQ633060.1_30,5000,0.642448908,0.057118603,0.365589856,1
QIAZ01000165_2,5000,0.154239072,0.264006791,0.436979767,0
QHZO01000009_4,5000,0.156980674,0.262672811,0.436979767,0
QHZO01000028_3,5000,0.08259475,0.36939122,0.436979767,0
QHZO01000032_3,5000,0.003930465,0.840043658,0.471695679,0
QHZO01000046_3,5000,0.030440102,0.542081009,0.438396767,0
QHZO01000099_1,5000,0.091841598,0.350351686,0.436979767,0
QHZO01000101_7,5000,0.034694444,0.518675722,0.437640288,0
MIES01000020_11,5000,0.019450912,0.620422023,0.44817059,0
MIES01000026_18,5000,0.003770135,0.844894494,0.472132455,0
MIES01000026_65,5000,0.001396629,0.922507883,0.484880139,0
MIES01000026_69,5000,0.007172957,0.770919234,0.462467032,0
MIES01000033_2,5000,0.000734507,0.954280863,0.488526185,0
MIES01000033_41,5000,0.049452485,0.454159593,0.436979767,0
MIES01000033_181,5000,0.053381969,0.442032501,0.436979767,0
MIES01000033_223,5000,0.010027892,0.724593742,0.458942863,0
MIES01000033_241,5000,0.032367875,0.530802813,0.438396767,0
MIES01000033_292,5000,0.009127367,0.739873878,0.458998694,0
QIAP01000020_3,5000,0.043054234,0.478171235,0.436979767,0
QIAP01000039_1,5000,0.177869312,0.24278438,0.436979767,0
QIAP01000055_1,5000,0.112148322,0.31663837,0.436979767,0
QIAP01000056_10,5000,0.622954302,0.061605627,0.380570879,0
QIAP01000058_3,5000,0.101975048,0.331797235,0.436979767,0
QIAP01000077_2,5000,0.004212208,0.831675964,0.471309407,0
QIAP01000088_2,5000,0.028657643,0.553116663,0.444052193,0
QIAP01000183_1,5000,0.181836383,0.238539898,0.436979767,0
NTKY01000003_17,5000,0.00098691,0.942638855,0.488394151,0
NTKY01000008_7,5000,0.004287852,0.829250546,0.470659213,0
NTKY01000010_10,5000,0.000749371,0.953553238,0.488526185,0
NTKY01000014_1,5000,0.000533404,0.96568033,0.492425059,0
NTKY01000025_6,5000,0.008604814,0.747877759,0.459630029,0
NTKY01000030_5,5000,0.005427915,0.806330342,0.467715348,0
NTKY01000041_7,5000,0.000960657,0.944215377,0.488394151,0
NTKY01000043_1,5000,0.05272881,0.444215377,0.436979767,0
NTKY01000051_1,5000,0.009465008,0.733931603,0.458998694,0
QHYU01000006_2,5000,0.013193527,0.682876546,0.457321984,0
QHYU01000086_3,5000,0.226990945,0.202886248,0.436979767,0
QHYU01000138_16,5000,0.002758237,0.870967742,0.47538519,0
QHYU01000148_13,5000,0.414003951,0.115571186,0.431715684,0
QHYU01000159_1,5000,0.042706367,0.479747756,0.436979767,0
QHYU01000176_12,5000,0.009496409,0.732597623,0.458998694,0
QHYU01000184_6,5000,0.012015112,0.697550327,0.457493294,0
QHYU01000207_2,5000,0.452355425,0.10295901,0.431715684,0
QHZG01000065_9,5000,0.024091567,0.582100412,0.446044015,0
QHZG01000072_2,5000,0.126765821,0.296022314,0.436979767,0
QHZG01000083_3,5000,0.239872253,0.194397284,0.436979767,0
QHZG01000173_1,5000,0.001059813,0.938758186,0.487817152,0
QHZG01000175_1,5000,0.094208062,0.34562212,0.436979767,0
QHZG01000192_1,5000,0.018385479,0.630366238,0.450776618,0
QHZG01000281_4,5000,0.016139052,0.650982294,0.452686726,0
QHZG01000433_1,5000,0.062446327,0.413048751,0.436979767,0
QHZG01000477_1,5000,0.025664864,0.572762552,0.445469458,0
QHZG01000556_1,5000,0.031133102,0.537593985,0.438396767,0
QHZG01000564_1,5000,0.599658636,0.066577735,0.385014646,0
LWBL01000005_20,5000,0.006551694,0.784137764,0.463837543,0
LWBL01000007_2,5000,0.008064994,0.756245452,0.461402375,0
LWBL01000013_26,5000,0.004248522,0.830827068,0.471288935,0
LWBL01000022_6,5000,0.030945818,0.538927965,0.438396767,0
QHWQ01000136_2,5000,0.042140655,0.482658259,0.436979767,0
QHWQ01000206_1,5000,0.280154612,0.173902498,0.436979767,0
QHWQ01000252_3,5000,0.088967285,0.356415232,0.436979767,0
NTKO01000009_1,5000,0.012177103,0.695609993,0.457493294,0
NTKO01000013_1,5000,0.168628138,0.252122241,0.436979767,0
NTKO01000013_6,5000,0.208268884,0.217317487,0.436979767,0
NTKO01000020_1,5000,0.59505854,0.067547902,0.385014646,0
QHYP01000100_2,5000,0.010013551,0.724715013,0.458942863,0
QHYP01000105_4,5000,0.191706773,0.231021101,0.436979767,0
QHYP01000146_2,5000,0.050739026,0.450036381,0.436979767,0
QHYP01000161_1,5000,0.045564735,0.468105748,0.436979767,0
QHYP01000198_1,5000,0.004891773,0.816395828,0.468418679,0
QHYP01000209_3,5000,0.021083543,0.606354596,0.447700446,0
QHYP01000221_4,5000,0.008796012,0.743754548,0.459335633,0
QHYP01000241_2,5000,0.036992148,0.505578462,0.437290939,0
QHYA01000011_2,5000,0.000204529,0.987509095,0.499017291,0
QHYA01000041_1,5000,0.027534058,0.561484356,0.445469458,0
QHYA01000061_10,5000,0.000932349,0.945185545,0.488394151,0
QHYA01000096_5,5000,0.001299857,0.927237448,0.485333616,0
QHYA01000158_1,5000,0.016164688,0.650861024,0.452686726,0
QHYA01000160_1,5000,0.003157332,0.861144797,0.47538519,0
QHYA01000175_1,5000,0.001571867,0.916080524,0.484339543,0
QHTX01000047_2,5000,0.149759537,0.26910017,0.436979767,0
QHTX01000095_2,5000,0.016018611,0.652195004,0.452964752,0
QHTX01000138_3,5000,0.017032594,0.644069852,0.451673626,0
QHZA01000001_3,5000,0.417109911,0.114237206,0.431715684,0
QHZA01000068_1,5000,0.037441772,0.502182877,0.436979767,0
QHZA01000074_1,5000,0.180252791,0.241086587,0.436979767,0
QHZA01000160_1,5000,0.014215806,0.672932331,0.455747409,0
QHZA01000204_1,5000,0.014648927,0.668202765,0.455747409,0
QHZA01000647_1,5000,0.03579739,0.512127092,0.437290939,0
QHVC01000011_6,5000,0.005961431,0.796264856,0.465226824,0
QHVC01000071_1,5000,0.033213446,0.525588164,0.438396767,0
QHVC01000076_1,5000,0.006409454,0.78753335,0.464457209,0
QHVC01000112_4,5000,0.037650527,0.500727626,0.436979767,0
QHVC01000115_4,5000,0.009129805,0.739873878,0.458998694,0
QHVC01000138_1,5000,0.014479726,0.669779287,0.455747409,0
QHVC01000178_1,5000,0.002743909,0.871937909,0.47538519,0
NIUC01000001_56,5000,0.006231342,0.790565122,0.464643547,0
NIUC01000001_167,5000,0.000868025,0.948096047,0.488394151,0
NIUC01000001_239,5000,0.006907453,0.776376425,0.462467032,0
NIUC01000002_112,5000,0.053841494,0.440819791,0.436979767,0
NIUC01000002_206,5000,0.015119266,0.662866845,0.455747409,0
NIUC01000002_216,5000,0.19367289,0.229202037,0.436979767,0
NIUC01000002_245,5000,0.08359274,0.367208343,0.436979767,0
NIUC01000002_326,5000,0.006185603,0.791777832,0.465000048,0
NIUC01000004_4,5000,8.93E-05,0.995027892,0.502184914,0
NIUC01000004_42,5000,0.002272977,0.889037109,0.478939375,0
QHUD01000108_2,5000,0.082697068,0.369269949,0.436979767,0
QHUD01000147_1,5000,0.086460109,0.361144797,0.436979767,0
QJSD01000001_1,5000,0.006628906,0.783046325,0.463750704,0
QJSD01000001_34,5000,0.155833415,0.263400437,0.436979767,0
QJSD01000001_154,5000,0.353620207,0.136551055,0.436979767,0
QJSD01000005_19,5000,0.012114002,0.696701431,0.457493294,0
QJSD01000012_2,5000,0.325309628,0.150861024,0.436979767,0
QJSD01000015_3,5000,0.32291754,0.152073733,0.436979767,0
QJSD01000020_5,5000,0.55434857,0.076036866,0.400111721,0
QJSD01000023_1,5000,0.653914612,0.054814455,0.365589856,0
QJSD01000023_4,5000,0.346676072,0.139582828,0.436979767,0
QIAR01000044_1,5000,0.10089549,0.333495028,0.436979767,0
QIAR01000067_1,5000,0.057795456,0.427358719,0.436979767,0
QIAR01000111_1,5000,0.026148712,0.570094591,0.445469458,0
QIAR01000123_1,5000,0.050788063,0.450036381,0.436979767,0
QIAR01000152_1,5000,0.040782575,0.487751637,0.436979767,0
QIAR01000162_1,5000,0.498196978,0.088891584,0.422921319,0
QIAR01000197_2,5000,0.159750945,0.260489935,0.436979767,0
QIAR01000227_1,5000,0.003621749,0.848532622,0.472778325,0
QIAR01000270_1,5000,0.251040785,0.189182634,0.436979767,0
QIAR01000369_1,5000,0.032896065,0.52764977,0.438396767,0
QIAR01000385_1,5000,0.159984361,0.260126122,0.436979767,0
QHVJ01000062_1,5000,0.042390027,0.481809362,0.436979767,0
QHVJ01000104_4,5000,0.015333311,0.660805239,0.455747409,0
QHVJ01000120_4,5000,0.007604673,0.764249333,0.462467032,0
QHVJ01000147_1,5000,0.05779037,0.427358719,0.436979767,0
QHVJ01000150_9,5000,0.017075726,0.643463497,0.451562203,0
QHVJ01000225_2,5000,0.00224985,0.889400922,0.478939375,0
QHOW01000001_1,5000,0.020645681,0.60950764,0.447700446,0
QHOW01000019_3,5000,0.023277666,0.590468106,0.446044015,0
QHOW01000066_2,5000,0.032969006,0.527285957,0.438396767,0
QHOW01000095_2,5000,0.049364856,0.454523405,0.436979767,0
QHUE01000003_1,5000,0.003601804,0.849381518,0.472778325,0
QHUE01000035_2,5000,0.034349624,0.520130973,0.437770092,0
QHUE01000091_2,5000,0.00151103,0.918505942,0.484339543,0
QHUE01000100_2,5000,0.025463927,0.573368906,0.445469458,0
QHUE01000112_1,5000,0.096834946,0.341256367,0.436979767,0
QHUE01000149_2,5000,0.009755775,0.727261703,0.458981108,0
QHUE01000216_2,5000,0.009128909,0.739873878,0.458998694,0
QHUE01000333_1,5000,0.004445493,0.824642251,0.469236986,0
QHYT01000021_1,5000,0.003605983,0.849017706,0.472778325,0
QHYT01000053_1,5000,0.268253827,0.179238419,0.436979767,0
QHYT01000149_1,5000,0.156294757,0.262915353,0.436979767,0
QHYT01000181_1,5000,0.002438995,0.883337376,0.477457636,0
QHYT01000315_1,5000,0.364490004,0.132306573,0.436979767,0
QHYT01000324_1,5000,0.774738537,0.032621877,0.30481599,0
PBMV01000005_5,5000,0.556845126,0.075430512,0.400111721,0
PBMV01000008_3,5000,0.752553112,0.036502547,0.317554107,0
PBMV01000016_5,5000,0.744246363,0.037351443,0.318591667,0
PBMV01000016_9,5000,0.897576522,0.013703614,0.206401509,0
PBMV01000021_3,5000,0.260307253,0.183604172,0.436979767,0
PBMV01000025_3,5000,0.056699111,0.430511763,0.436979767,0
PBMV01000055_12,5000,0.10498008,0.327067669,0.436979767,0
PBMV01000060_17,5000,0.69458889,0.046931846,0.34196868,0
PBMV01000065_3,5000,0.087492402,0.359083192,0.436979767,0
PBMV01000076_2,5000,0.222045429,0.205554208,0.436979767,0
QHZI01000001_3,5000,0.048189617,0.458767887,0.436979767,0
QHZI01000017_2,5000,0.206428473,0.218894009,0.436979767,0
QHZI01000041_6,5000,0.023673184,0.585495998,0.446044015,0
QHZI01000087_3,5000,0.017942994,0.634731991,0.451538727,0
QHZI01000112_1,5000,0.257711676,0.185180694,0.436979767,0
QHZI01000157_1,5000,0.187213164,0.234295416,0.436979767,0
QHZI01000159_1,5000,0.095359325,0.343681785,0.436979767,0
QHWL01000270_1,5000,0.001371595,0.923356779,0.484880139,0
QHWL01000273_2,5000,0.008544844,0.748362843,0.459630029,0
QHWL01000451_1,5000,0.03138637,0.536017463,0.438396767,0
NETF01000011_4,5000,0.109757614,0.319185059,0.436979767,0
NETF01000020_13,5000,0.025064773,0.57518797,0.445469458,0
NETF01000051_14,5000,0.202341058,0.222532137,0.436979767,0
NETF01000177_1,5000,0.707770485,0.044385156,0.331784839,0
NETF01000177_3,5000,0.075066042,0.385762794,0.436979767,0
NETF01000180_7,5000,0.257545396,0.185180694,0.436979767,0
NETF01000204_3,5000,0.624442078,0.061484356,0.380570879,0
QHTL01000003_2,5000,0.016142825,0.650982294,0.452686726,0
QHTL01000005_1,5000,0.004609785,0.821125394,0.468418679,0
QHTL01000032_3,5000,0.007654826,0.763521707,0.462467032,0
QHTL01000075_56,5000,0.004912972,0.816032016,0.468418679,0
QHTL01000076_25,5000,0.001064068,0.938515644,0.487817152,0
QHTL01000078_15,5000,0.000487686,0.969318457,0.493283198,0
QHTL01000097_4,5000,0.447663908,0.104050449,0.431715684,0
QHTL01000103_1,5000,0.011186467,0.708585981,0.458942863,0
QHZR01000001_1,5000,0.074925603,0.385762794,0.436979767,0
QHZR01000003_1,5000,0.252793814,0.188333738,0.436979767,0
QHZR01000018_4,5000,0.116925644,0.309362115,0.436979767,0
QHZR01000020_5,5000,0.223382329,0.204947854,0.436979767,0
QHZR01000034_2,5000,0.174552256,0.245694882,0.436979767,0
QHZR01000041_2,5000,0.071956651,0.391341256,0.436979767,0
QHZR01000044_1,5000,0.428769596,0.109992724,0.431715684,0
QHZR01000117_1,5000,0.038958077,0.49478535,0.436979767,0
QHZR01000141_2,5000,0.715385625,0.042929905,0.328199981,0
QHZR01000240_1,5000,0.248584283,0.190516614,0.436979767,0
QHZR01000442_1,5000,0.222133619,0.205554208,0.436979767,0
QHUP01000001_2,5000,0.010084025,0.723623575,0.458942863,0
QHUP01000272_1,5000,0.02694844,0.565001213,0.445469458,0
QHZH01000025_1,5000,0.048367131,0.457918991,0.436979767,0
QHZH01000033_1,5000,0.019181379,0.623211254,0.448841787,0
QHZH01000182_1,5000,0.02336019,0.589376667,0.446044015,0
